,MODEL,C,Epsilon,Kernel,R2_fold1,R2_fold2,R2_fold3,R2_fold4,R2_fold5
77,SVR,80,0.2,linear,-0.9330685533780236,-0.8949202852770926,-1.0715536919834605,-0.640614754741335,-0.9531193789159671
78,SVR,80,0.3,linear,-0.9329712702579129,-0.8933681617909475,-1.0679260405850162,-0.6295116290582676,-0.9455789699308459
79,SVR,80,0.4,linear,-0.9262042698143835,-0.8881585123294953,-1.0610165912724647,-0.6257209783808235,-0.9408237561039203
80,SVR,80,0.5,linear,-0.9171408961143268,-0.8879869419357325,-1.0529075514498007,-0.623386057604806,-0.9325149996295272
81,SVR,85,0.1,linear,-0.8563326015396142,-0.7869557936134925,-1.029810869010662,-0.5773660514696313,-0.8541122544855133
82,SVR,85,0.2,linear,-0.8505269565302549,-0.7745108365339957,-1.0222272197288493,-0.5646848838936362,-0.8489314267515082
83,SVR,85,0.3,linear,-0.8504318290807871,-0.7729318800450746,-1.0173591111741915,-0.5546164896144876,-0.834455931011052
84,SVR,85,0.4,linear,-0.8398456700849737,-0.7698166936750939,-1.0141530100030636,-0.5465395407353408,-0.829728483952501
85,SVR,85,0.5,linear,-0.8327861896600344,-0.7625690980578588,-1.004991684676984,-0.5418439700357269,-0.8186780223241621
86,SVR,90,0.1,linear,-0.7825537212216318,-0.7316383435463754,-0.9285667743735142,-0.45199212875009276,-0.7478237582876825
87,SVR,90,0.2,linear,-0.775354764175278,-0.7198520709964846,-0.9185943290205816,-0.44128860142319515,-0.7430866500054782
88,SVR,90,0.3,linear,-0.7732142940747104,-0.7182219639571132,-0.6686941077751447,-0.4269516339628734,-0.7322280103891012
89,SVR,90,0.4,linear,-0.7710137319712727,-0.7139706819529392,-0.6656511327933616,-0.42232270107587366,-0.7257926559357641
90,SVR,90,0.5,linear,-0.7643184048172207,-0.7030451955375043,-0.6567121716197191,-0.4211695061956997,-0.7215919181356498
91,SVR,95,0.1,linear,-0.563279176145526,-0.5560744301747778,-0.6298843996930155,-0.33673218768244073,-0.501263265544686
92,SVR,95,0.2,linear,-0.5536160158158094,-0.5460143546852927,-0.6212594593409642,-0.3164888349784869,-0.4996105502051571
93,SVR,95,0.3,linear,-0.5535302676551888,-0.5412091097946037,-0.6198092567648581,-0.30659491559404595,-0.49452650877153226
94,SVR,95,0.4,linear,-0.5547008675419296,-0.5386367818212514,-0.616670114061193,-0.3019679580299517,-0.488304014283353
95,SVR,95,0.5,linear,-0.5459273411797854,-0.5283536741010504,-0.6058927008492845,-0.3035354224898603,-0.48355844842271556
96,SVR,100,0.1,linear,-0.4458158242147534,-0.4040872882838509,-0.569271200820036,-0.22859790498705834,-0.454518271015969
97,SVR,100,0.2,linear,-0.4332063503838155,-0.39350016921972975,-0.5599470825523858,-0.22076988584458923,-0.45171490422210203
98,SVR,100,0.3,linear,-0.43312465306464576,-0.38876594726364844,-0.5555825214724797,-0.21151767159545942,-0.43822847191015146
99,SVR,100,0.4,linear,-0.4288997026827046,-0.3877781124260167,-0.5523771040869616,-0.20054131877596482,-0.43224783136739386
100,SVR,100,0.5,linear,-0.419310929795663,-0.37162465691414925,-0.5458539942135316,-0.1979820411799713,-0.42377421038811747
101,SVR,5,0.1,poly,-0.2044607296094345,-0.2052885786667673,-0.2062747735265349,-0.21258821209396483,-0.20421312192896313
102,SVR,5,0.2,poly,-0.20445843113903628,-0.2052882901058528,-0.20623039187305592,-0.21262569511957863,-0.20421072894614545
103,SVR,5,0.3,poly,-0.204462296533664,-0.2052813786110126,-0.20621967863340096,-0.2125627548504494,-0.20420247100395383
104,SVR,5,0.4,poly,-0.20446810027216755,-0.20529099615922686,-0.20622137657915962,-0.2126322630338624,-0.20419985993320533
105,SVR,5,0.5,poly,-0.2044467589676109,-0.2052830917035915,-0.20619821626994095,-0.21258954409176134,-0.2041010511841317
106,SVR,10,0.1,poly,-0.19666388353008446,-0.1977930771748717,-0.1984396929562755,-0.2060054495021464,-0.1965494702955417
107,SVR,10,0.2,poly,-0.1966513975194064,-0.19779453345244202,-0.19835425285609265,-0.20607899812033859,-0.19654475622662138
108,SVR,10,0.3,poly,-0.19666882174127842,-0.19777887687793227,-0.19833309689736334,-0.2059556924628927,-0.19652558024579259
109,SVR,10,0.4,poly,-0.1966723268362398,-0.19779778640668733,-0.19833643079815655,-0.20609193885730526,-0.19652042540607262
110,SVR,10,0.5,poly,-0.19663028892859558,-0.19778218078580445,-0.1982908247590187,-0.20600800778655226,-0.19630188634934087
111,SVR,15,0.1,poly,-0.18901043901707637,-0.19043329106116413,-0.19074859164816682,-0.19952214221997022,-0.18902216469894384
112,SVR,15,0.2,poly,-0.18899206008906577,-0.19043538183265962,-0.19062309841213998,-0.19963033899770766,-0.18901520146223172
113,SVR,15,0.3,poly,-0.18901748361336757,-0.19041226254873744,-0.19059482281871465,-0.19944924283274745,-0.18898695970359736
114,SVR,15,0.4,poly,-0.18901014405425065,-0.19041947037224327,-0.19059677103683326,-0.19964945746575746,-0.18897932839668363
115,SVR,15,0.5,poly,-0.18896077644115006,-0.19041682489272915,-0.19052938969658295,-0.19952582107979677,-0.18865711242406413
116,SVR,20,0.1,poly,-0.1815034658381065,-0.18322824105469504,-0.18320146960220884,-0.1931382902474399,-0.18162440206063524
117,SVR,20,0.2,poly,-0.1814794273847602,-0.18323587159940669,-0.18303770117316986,-0.19327971775168584,-0.18162356877206887
118,SVR,20,0.3,poly,-0.18151237500581785,-0.1832007035523484,-0.1830006013372556,-0.19304789186083893,-0.18158660937737103
119,SVR,20,0.4,poly,-0.1815027395746478,-0.18323715299351395,-0.18300313895488762,-0.19330481885921813,-0.1815765689050386
120,SVR,20,0.5,poly,-0.1814382215052759,-0.18319273749488296,-0.18291466745916485,-0.19314298397149732,-0.18115440442484854
121,SVR,25,0.1,poly,-0.1741453920715046,-0.17615156319498015,-0.1757983268183987,-0.1868538935845534,-0.17437087819608177
122,SVR,25,0.2,poly,-0.17411579107344966,-0.1761608735830993,-0.17559806113918164,-0.18702713438227248,-0.17436985815613215
123,SVR,25,0.3,poly,-0.17415578816774446,-0.17612250062706925,-0.17555243753843564,-0.18674370075167723,-0.17432452926710895
124,SVR,25,0.4,poly,-0.1741214323349627,-0.17616238876464663,-0.17555553455232098,-0.18705802303768726,-0.17431214693113617
125,SVR,25,0.5,poly,-0.1740649565135428,-0.17610762057760798,-0.17545159663163212,-0.18685949646165345,-0.17379376235169652
126,SVR,30,0.1,poly,-0.16693179104449207,-0.1692136810828786,-0.16853916329674035,-0.18066895223130985,-0.16725526777745148
127,SVR,30,0.2,poly,-0.16689697074633525,-0.16922458019729714,-0.1683041783101742,-0.1808725888894689,-0.16725677348850398
128,SVR,30,0.3,poly,-0.16694354178218962,-0.16917930520094937,-0.16825033142225942,-0.18054008701230395,-0.16720071937281467
129,SVR,30,0.4,poly,-0.1669034536354972,-0.16922629454185145,-0.16847986758055766,-0.18090907000116485,-0.16718606247497791
130,SVR,30,0.5,poly,-0.16683672752027623,-0.16916147414090466,-0.16813137177215065,-0.1806753585502643,-0.16657518620460765
131,SVR,35,0.1,poly,-0.15985143491599207,-0.1624145947183917,-0.1614239790372307,-0.17478213868798154,-0.16027757080474392
132,SVR,35,0.2,poly,-0.15982315463769048,-0.1624269914420018,-0.16115605268615063,-0.17481608127327397,-0.1602804364808068
133,SVR,35,0.3,poly,-0.15987750649414667,-0.1623750719222976,-0.16109428298872208,-0.17443705064272708,-0.16021517969448462
134,SVR,35,0.4,poly,-0.15983206565109187,-0.16243558272110925,-0.16135609314825983,-0.17485795974965113,-0.1602022201746487
135,SVR,35,0.5,poly,-0.1597554375322332,-0.16235429818477254,-0.16095788774133135,-0.17381241644262357,-0.15949867598357836
136,SVR,40,0.1,poly,-0.15292917874066814,-0.15575430410151903,-0.15445277403987112,-0.16881938875623015,-0.15347443701782093
137,SVR,40,0.2,poly,-0.15289729052221368,-0.1557681073172137,-0.15415368426710807,-0.1688576115336884,-0.15345149364070876
138,SVR,40,0.3,poly,-0.15295768230361362,-0.1557098007911164,-0.15408429223782827,-0.16843459164294394,-0.1533786669708581
139,SVR,40,0.4,poly,-0.15296554959656694,-0.15577765383900632,-0.15437666724856025,-0.16890469228314564,-0.1533644753204264
140,SVR,40,0.5,poly,-0.15282108654940862,-0.15568609270921407,-0.15383082754793165,-0.1677321337231361,-0.1531348421188865
